id,title,description,category,resolution,priority,scenario_id
1703,sessions_redis backup job failing,[TCK-74571] Flagged during routine checks: the nightly backup for sessions_redis has failed for two days and no recent restore point exists. Please confirm root cause and next steps.,Database,"The sessions_redis backup was failing due to insufficient target disk space; expanded the backup volume, reran the job, and verified a test restore.",Medium,4
1704,Firewall blocking port 9200,[TCK-50184] Issue summary: a required service is unreachable because traffic on port 9200 appears to be blocked by the firewall. It started earlier today and has not self-resolved.,Network,Added an explicit firewall allow rule for port 9200 scoped to the required source ranges and verified the service became reachable.,High,4
1705,Exposed secret found in repository,[TCK-85707] Issue summary: an automated scan detected a live cloud access key committed to a source repository. It started earlier today and has not self-resolved.,Security,"Revoked the leaked cloud key immediately, rotated all affected credentials, and enabled pre-commit secret scanning to block future leaks.",High,5
1706,Malware detected on endpoint of p.reddy,[TCK-76968] Ticket raised because the EDR agent flagged and quarantined a trojan on the workstation belonging to p.reddy. This is impacting daily work.,Security,"Isolated the endpoint of p.reddy from the network, ran a full offline scan to remove the trojan, and re-imaged the machine as a precaution.",High,2
1707,Deadlocks reported on analytics_mongo,[TCK-36318] User m.iyer reports that the application logs show frequent deadlock errors originating from transactions against analytics_mongo. Kindly look into this at the earliest.,Database,"Reordered the conflicting write operations to acquire locks in a consistent order on analytics_mongo and shortened transaction scope, eliminating deadlocks.",Medium,3
1708,Permissions incorrect on \\fs01\operations,[TCK-36205] Ticket raised because several Delhi Sales users report they can see the folder \\fs01\operations but get 'access denied' when opening files inside it. This is impacting daily work.,Storage,Corrected the inherited NTFS permissions on \\fs01\operations for the relevant Delhi Sales group and re-propagated ACLs so the files opened as expected.,Medium,6
1709,Intermittent connectivity at Hyderabad Office,[TCK-82573] Ticket raised because users at Hyderabad Office are experiencing intermittent network drops every few minutes. This is impacting daily work.,Network,A failing uplink switch at Hyderabad Office was flapping; replaced the faulty switch and reconfigured link redundancy to prevent single-point drops.,Low,0
1710,reporting_mongo running out of connections,[TCK-56224] We are observing that reporting_mongo is rejecting new connections with a 'too many connections' error during peak traffic. Requesting priority attention from the relevant team.,Database,Introduced a connection pooler in front of reporting_mongo and lowered per-service pool sizes; connection exhaustion no longer occurs at peak.,High,1
1711,Firewall blocking port 3306,[TCK-46496] User r.sharma reports that a required service is unreachable because traffic on port 3306 appears to be blocked by the firewall. Kindly look into this at the earliest.,Network,Added an explicit firewall allow rule for port 3306 scoped to the required source ranges and verified the service became reachable.,Medium,4
1712,File share \\fs01\hr inaccessible,[TCK-77747] Flagged during routine checks: users cannot access the network file share \\fs01\hr; it returns 'network path not found'. Please confirm root cause and next steps.,Storage,"The share service backing \\fs01\hr had crashed; restarted it, verified permissions, and remapped the share for affected users.",High,0
1713,VPN failing for Chennai Support users,[TCK-57810] We are observing that remote users from Chennai Support cannot establish a VPN connection and get a timeout during negotiation. Requesting priority attention from the relevant team.,Network,"The VPN concentrator serving Chennai Support had exhausted its IP pool; enlarged the pool and cleared stale sessions, restoring VPN access.",Medium,1
1714,MFA reset request for v.nair,[TCK-50975] Ticket raised because user v.nair lost their phone and cannot complete multi-factor authentication to sign in. This is impacting daily work.,Access Management,"Verified v.nair out of band, reset their MFA enrolment, and guided them through registering a new authenticator device.",Low,5
1715,Storage quota exceeded for Delhi Sales,[TCK-50721] Support desk logged the following: the Delhi Sales team has hit its storage quota and can no longer save new files to their share. Awaiting assignment to the right team.,Storage,"Reviewed usage for Delhi Sales, archived stale data to cold storage, and raised their quota after manager approval.",High,5
1716,Deadlocks reported on billing_mysql,[TCK-87969] User v.nair reports that the application logs show frequent deadlock errors originating from transactions against billing_mysql. Kindly look into this at the earliest.,Database,"Reordered the conflicting write operations to acquire locks in a consistent order on billing_mysql and shortened transaction scope, eliminating deadlocks.",High,3
1717,Expense Tracker says it can't find the data,"[TCK-65199] Monitoring alerted us that Expense Tracker shows an error mentioning a broken connection to where the data is kept, and no records load at all. Escalating for investigation.",Database,Diagnosed a dropped connection between Expense Tracker and sessions_redis caused by a credentials rotation; updated the stored connection string and confirmed Expense Tracker could load data again.,High,7
1718,Autovacuum not keeping up on catalog_pg,[TCK-16524] Reported by the Pune Branch team: catalog_pg is showing severe table bloat and rising query times because dead tuples are accumulating faster than they are cleaned up. Please investigate and resolve.,Database,"Tuned the autovacuum thresholds and cost limits on catalog_pg, ran a manual vacuum on the worst tables, and query performance and disk usage recovered.",Medium,11
1719,Firewall blocking port 8080,[TCK-85658] Flagged during routine checks: a required service is unreachable because traffic on port 8080 appears to be blocked by the firewall. Please confirm root cause and next steps.,Network,Added an explicit firewall allow rule for port 8080 scoped to the required source ranges and verified the service became reachable.,High,4
1720,Unauthorized privilege escalation detected for m.chatterjee,[TCK-97428] Monitoring alerted us that audit logs show account m.chatterjee was granted administrator rights outside the normal approval workflow. Escalating for investigation.,Security,"Revoked the unauthorized admin rights from m.chatterjee, traced the change to a misconfigured group policy, and tightened the privileged-access approval controls.",High,7
1721,NFS mount dropping on K8S-NODE-14,"[TCK-23958] Support desk logged the following: the NFS mount on K8S-NODE-14 keeps dropping, causing applications to see missing files intermittently. Awaiting assignment to the right team.",Storage,Tuned the NFS mount options on K8S-NODE-14 to use hard mounts with proper timeouts and pinned the client to a stable server address.,Medium,4
1722,Exposed secret found in repository,[TCK-81886] User d.mehta reports that an automated scan detected a live cloud access key committed to a source repository. Kindly look into this at the earliest.,Security,"Revoked the leaked cloud key immediately, rotated all affected credentials, and enabled pre-commit secret scanning to block future leaks.",Medium,5
1723,Open management port 8443 exposed on PRD-AUTH-05,[TCK-31152] Issue summary: an external scan found management port 8443 on PRD-AUTH-05 reachable from the public internet. It started earlier today and has not self-resolved.,Security,"Restricted port 8443 on PRD-AUTH-05 to the internal management network via firewall and security-group rules, then verified it was no longer externally reachable.",Medium,8
1724,MFA reset request for k.verma,[TCK-21211] Issue summary: user k.verma lost their phone and cannot complete multi-factor authentication to sign in. It started earlier today and has not self-resolved.,Access Management,"Verified k.verma out of band, reset their MFA enrolment, and guided them through registering a new authenticator device.",Medium,5
1725,Unpatched critical CVE on PRD-DB-11,"[TCK-90028] Issue summary: vulnerability scanning found a critical, actively-exploited CVE unpatched on PRD-DB-11. It started earlier today and has not self-resolved.",Security,Applied the vendor security patch to PRD-DB-11 during an emergency change window and rescanned to confirm the CVE was remediated.,High,4
1726,Slow read/write on \\fs04\legal,"[TCK-65273] Reported by the Chennai Support team: read and write performance on \\fs04\legal has degraded severely, with file operations timing out. Please investigate and resolve.",Storage,A failing disk in the array behind \\fs04\legal was causing rebuild-related slowness; replaced the disk and performance returned to normal.,Medium,2
1727,Group membership change for v.nair,[TCK-27062] Ticket raised because manager requests that v.nair be added to the Remote/WFH finance security group. This is impacting daily work.,Access Management,Added v.nair to the requested Remote/WFH security group after manager approval and verified the new permissions took effect.,Medium,3
1728,Intermittent connectivity at Chennai Support,[TCK-84452] Issue summary: users at Chennai Support are experiencing intermittent network drops every few minutes. It started earlier today and has not self-resolved.,Network,A failing uplink switch at Chennai Support was flapping; replaced the faulty switch and reconfigured link redundancy to prevent single-point drops.,High,0
1729,High CPU on server VM-BATCH-10,"[TCK-52964] Issue summary: sustained CPU utilization above 95% on VM-BATCH-10 for the last 40 minutes, causing request timeouts. It started earlier today and has not self-resolved.",Infrastructure,"Identified a runaway process on VM-BATCH-10, capped its cgroup CPU quota, and scaled the service horizontally to shed load.",High,0
1730,Autovacuum not keeping up on billing_mysql,[TCK-24048] User s.khan reports that billing_mysql is showing severe table bloat and rising query times because dead tuples are accumulating faster than they are cleaned up. Kindly look into this at the earliest.,Database,"Tuned the autovacuum thresholds and cost limits on billing_mysql, ran a manual vacuum on the worst tables, and query performance and disk usage recovered.",High,11
1731,Expired TLS certificate on HR Self-Service,[TCK-17762] Ticket raised because the TLS certificate for HR Self-Service has expired and browsers are showing security warnings to all users. This is impacting daily work.,Security,"Reissued and installed a valid TLS certificate for HR Self-Service, then configured auto-renewal via ACME to prevent recurrence.",High,3
1732,VPN failing for Bangalore DC users,[TCK-27994] User r.desai reports that remote users from Bangalore DC cannot establish a VPN connection and get a timeout during negotiation. Kindly look into this at the earliest.,Network,"The VPN concentrator serving Bangalore DC had exhausted its IP pool; enlarged the pool and cleared stale sessions, restoring VPN access.",High,1
1733,Ticketing System integration with Zoom failing,[TCK-99417] Ticket raised because the Ticketing System integration with Zoom has stopped syncing and shows repeated authentication failures. This is impacting daily work.,Application,"The Zoom API credentials used by Ticketing System had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",High,5
1734,Open management port 6379 exposed on PRD-AUTH-05,[TCK-18802] Monitoring alerted us that an external scan found management port 6379 on PRD-AUTH-05 reachable from the public internet. Escalating for investigation.,Security,"Restricted port 6379 on PRD-AUTH-05 to the internal management network via firewall and security-group rules, then verified it was no longer externally reachable.",High,8
1735,File share \\nas03\projects inaccessible,[TCK-45039] Flagged during routine checks: users cannot access the network file share \\nas03\projects; it returns 'network path not found'. Please confirm root cause and next steps.,Storage,"The share service backing \\nas03\projects had crashed; restarted it, verified permissions, and remapped the share for affected users.",High,0
1736,CRM integration with Cloudflare failing,[TCK-56009] Monitoring alerted us that the CRM integration with Cloudflare has stopped syncing and shows repeated authentication failures. Escalating for investigation.,Application,"The Cloudflare API credentials used by CRM had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",High,5
1737,catalog_pg running out of connections,[TCK-25627] Reported by the Bangalore DC team: catalog_pg is rejecting new connections with a 'too many connections' error during peak traffic. Please investigate and resolve.,Database,Introduced a connection pooler in front of catalog_pg and lowered per-service pool sizes; connection exhaustion no longer occurs at peak.,High,1
1738,Exposed secret found in repository,[TCK-71306] We are observing that an automated scan detected a live cloud access key committed to a source repository. Requesting priority attention from the relevant team.,Security,"Revoked the leaked cloud key immediately, rotated all affected credentials, and enabled pre-commit secret scanning to block future leaks.",High,5
1739,Firewall blocking port 8080,[TCK-74722] Ticket raised because a required service is unreachable because traffic on port 8080 appears to be blocked by the firewall. This is impacting daily work.,Network,Added an explicit firewall allow rule for port 8080 scoped to the required source ranges and verified the service became reachable.,Low,4
1740,Brute-force attack against Vendor Portal login,[TCK-19119] User s.joshi reports that monitoring shows a high-volume password-guessing attack hammering the Vendor Portal login endpoint from many IP addresses. Kindly look into this at the earliest.,Security,"Enabled rate limiting and account lockout on the Vendor Portal login endpoint, added the attacking ranges to a block list, and turned on CAPTCHA after repeated failures.",High,6
1741,Open management port 5432 exposed on PRD-DB-11,[TCK-22664] We are observing that an external scan found management port 5432 on PRD-DB-11 reachable from the public internet. Requesting priority attention from the relevant team.,Security,"Restricted port 5432 on PRD-DB-11 to the internal management network via firewall and security-group rules, then verified it was no longer externally reachable.",High,8
1742,Group membership change for p.reddy,[TCK-36378] Ticket raised because manager requests that p.reddy be added to the Delhi Sales finance security group. This is impacting daily work.,Access Management,Added p.reddy to the requested Delhi Sales security group after manager approval and verified the new permissions took effect.,High,3
1743,Scheduled job failing on VM-BATCH-09,[TCK-51079] We are observing that the nightly batch job on VM-BATCH-09 has failed three consecutive runs with a non-zero exit code. Requesting priority attention from the relevant team.,Infrastructure,Found the cron job on VM-BATCH-09 was hitting a full /tmp; cleaned the directory and moved the job's scratch space to a larger volume.,Medium,5
1744,Expired TLS certificate on Payroll,[TCK-48810] We are observing that the TLS certificate for Payroll has expired and browsers are showing security warnings to all users. Requesting priority attention from the relevant team.,Security,"Reissued and installed a valid TLS certificate for Payroll, then configured auto-renewal via ACME to prevent recurrence.",High,3
1745,Replication lag on warehouse_pg,"[TCK-72162] We are observing that the read replica for warehouse_pg is lagging the primary by several minutes, serving stale reads to the application. Requesting priority attention from the relevant team.",Database,"Found a long-running analytics query blocking replication on warehouse_pg; killed it, tuned the replica I/O, and lag returned to under a second.",High,0
1746,Payroll crashes on file upload,[TCK-34219] Issue summary: Payroll crashes with a 502 whenever a user attempts to upload a file larger than a few megabytes. It started earlier today and has not self-resolved.,Application,"Raised the upload body-size limit in the Payroll reverse proxy and worker config, then verified large uploads complete successfully.",High,3
1747,Service on port 9092 unreachable from Remote/WFH,[TCK-80509] Ticket raised because users at Remote/WFH cannot connect to an internal service on port 9092 although it works from other sites. This is impacting daily work.,Network,A routing change had removed the path from Remote/WFH to the service subnet on port 9092; restored the missing route and confirmed connectivity from Remote/WFH.,Medium,8
1748,Deadlocks reported on inventory_pg,[TCK-60144] Monitoring alerted us that the application logs show frequent deadlock errors originating from transactions against inventory_pg. Escalating for investigation.,Database,"Reordered the conflicting write operations to acquire locks in a consistent order on inventory_pg and shortened transaction scope, eliminating deadlocks.",Medium,3
1749,Open management port 22 exposed on PRD-APP-03,[TCK-60773] User r.desai reports that an external scan found management port 22 on PRD-APP-03 reachable from the public internet. Kindly look into this at the earliest.,Security,"Restricted port 22 on PRD-APP-03 to the internal management network via firewall and security-group rules, then verified it was no longer externally reachable.",Low,8
1750,Payroll crashes on file upload,[TCK-70619] User r.desai reports that Payroll crashes with a 502 whenever a user attempts to upload a file larger than a few megabytes. Kindly look into this at the earliest.,Application,"Raised the upload body-size limit in the Payroll reverse proxy and worker config, then verified large uploads complete successfully.",High,3
1751,New joiner access request for t.rao,"[TCK-73430] Ticket raised because new employee t.rao needs standard access provisioned to email, Procurement Portal, and the Bangalore DC file shares. This is impacting daily work.",Access Management,"Provisioned t.rao with the standard role granting email, Procurement Portal, and Bangalore DC share access, and confirmed successful first login.",Medium,0
1752,Disk full on inventory_pg host,[TCK-81891] Issue summary: the data volume for inventory_pg is at 100% usage and the database has switched to read-only mode. It started earlier today and has not self-resolved.,Database,"Archived old WAL/transaction logs and expanded the inventory_pg data volume, then brought the database back into read-write mode.",High,5
1753,High latency to PRD-CACHE-02,"[TCK-36314] Support desk logged the following: network latency to PRD-CACHE-02 has spiked to hundreds of milliseconds, degrading application response. Awaiting assignment to the right team.",Network,Traced the latency to a saturated link on the path to PRD-CACHE-02; rerouted traffic over a secondary path and opened a capacity request.,High,2
1754,Storage volume nearly full,[TCK-94136] Flagged during routine checks: the primary storage volume is at 96% capacity and writes are beginning to fail for several services. Please confirm root cause and next steps.,Storage,"Reclaimed space by purging expired snapshots and old logs, then extended the volume; utilization dropped to a safe 60%.",Medium,1
1755,Deadlocks reported on orders_pg,[TCK-93519] Reported by the Mumbai HQ team: the application logs show frequent deadlock errors originating from transactions against orders_pg. Please investigate and resolve.,Database,"Reordered the conflicting write operations to acquire locks in a consistent order on orders_pg and shortened transaction scope, eliminating deadlocks.",Medium,3
1756,Exposed secret found in repository,[TCK-29234] Reported by the Remote/WFH team: an automated scan detected a live cloud access key committed to a source repository. Please investigate and resolve.,Security,"Revoked the leaked cloud key immediately, rotated all affected credentials, and enabled pre-commit secret scanning to block future leaks.",High,5
1757,DHCP not assigning addresses at Noida Tech Park,[TCK-74980] Flagged during routine checks: new devices at Noida Tech Park are failing to get an IP address and fall back to self-assigned addresses. Please confirm root cause and next steps.,Network,"The DHCP scope for Noida Tech Park had exhausted its available leases; expanded the scope range and shortened the lease time, and devices began getting addresses again.",High,7
1758,MFA reset request for m.iyer,[TCK-29824] Flagged during routine checks: user m.iyer lost their phone and cannot complete multi-factor authentication to sign in. Please confirm root cause and next steps.,Access Management,"Verified m.iyer out of band, reset their MFA enrolment, and guided them through registering a new authenticator device.",Medium,5
1759,Deadlocks reported on customers_pg,[TCK-21853] Flagged during routine checks: the application logs show frequent deadlock errors originating from transactions against customers_pg. Please confirm root cause and next steps.,Database,"Reordered the conflicting write operations to acquire locks in a consistent order on customers_pg and shortened transaction scope, eliminating deadlocks.",High,3
1760,Disk full on sessions_redis host,[TCK-62609] Flagged during routine checks: the data volume for sessions_redis is at 100% usage and the database has switched to read-only mode. Please confirm root cause and next steps.,Database,"Archived old WAL/transaction logs and expanded the sessions_redis data volume, then brought the database back into read-write mode.",High,5
1761,Unauthorized privilege escalation detected for s.khan,[TCK-89387] Reported by the Chennai Support team: audit logs show account s.khan was granted administrator rights outside the normal approval workflow. Please investigate and resolve.,Security,"Revoked the unauthorized admin rights from s.khan, traced the change to a misconfigured group policy, and tightened the privileged-access approval controls.",High,7
1762,Role change access review for s.khan,[TCK-11295] Monitoring alerted us that user s.khan has moved teams and still holds permissions from their previous Learning Management System role that need to be reconciled. Escalating for investigation.,Access Management,"Reviewed the entitlements for s.khan, removed the obsolete Learning Management System permissions from the prior role, and assigned the correct role for their new team.",Low,7
1763,Failover did not promote replica for customers_pg,"[TCK-42620] User m.chatterjee reports that the primary for customers_pg went down but the standby replica never got promoted, leaving the application without a writable database. Kindly look into this at the earliest.",Database,"Manually promoted the customers_pg replica to primary, repointed the application connection string, and fixed the failover automation that had a stale health-check.",Low,10
1764,Snapshot/backup restore request for \\fs01\finance,[TCK-55935] Issue summary: a user accidentally deleted a folder on \\fs01\finance and needs yesterday's version restored. It started earlier today and has not self-resolved.,Storage,Restored the requested folder on \\fs01\finance from the previous night's snapshot and confirmed file integrity with the requesting user.,Medium,3
1765,Exposed secret found in repository,[TCK-12841] Issue summary: an automated scan detected a live cloud access key committed to a source repository. It started earlier today and has not self-resolved.,Security,"Revoked the leaked cloud key immediately, rotated all affected credentials, and enabled pre-commit secret scanning to block future leaks.",High,5
1766,Stale data shown in Inventory Manager,[TCK-38697] We are observing that Inventory Manager is displaying data that is several hours out of date despite the source having been updated. Requesting priority attention from the relevant team.,Application,The Inventory Manager cache was not being invalidated on write; fixed the cache-busting key and reduced the TTL so users see current data.,Medium,4
1767,Role change access review for n.gupta,[TCK-35223] We are observing that user n.gupta has moved teams and still holds permissions from their previous Field Service App role that need to be reconciled. Requesting priority attention from the relevant team.,Access Management,"Reviewed the entitlements for n.gupta, removed the obsolete Field Service App permissions from the prior role, and assigned the correct role for their new team.",Medium,7
1768,Memory exhaustion on PRD-CACHE-02,[TCK-33703] We are observing that PRD-CACHE-02 is reporting out-of-memory kills and the OOM killer has terminated critical services. Requesting priority attention from the relevant team.,Infrastructure,Increased the memory limit for the affected container on PRD-CACHE-02 and added a memory-usage alert at 80% to catch it earlier.,Low,2
1769,Search returning no results in Field Service App,[TCK-58449] Issue summary: the search feature in Field Service App returns zero results for queries that clearly should match existing records. It started earlier today and has not self-resolved.,Application,The Field Service App search index had drifted out of sync with the database; triggered a full reindex and scheduled incremental reindexing to keep results accurate.,Medium,7
1770,Automatic scaling not triggering for PRD-AUTH-05,[TCK-34232] Support desk logged the following: the autoscaling group for PRD-AUTH-05 is not adding capacity even though CPU has been pinned high for over an hour. Awaiting assignment to the right team.,Infrastructure,"Found the autoscaling policy for PRD-AUTH-05 referenced a stale metric; corrected the scaling metric and cooldown, and new instances now launch on demand.",High,8
1771,Storage volume nearly full,[TCK-58033] Issue summary: the primary storage volume is at 96% capacity and writes are beginning to fail for several services. It started earlier today and has not self-resolved.,Storage,"Reclaimed space by purging expired snapshots and old logs, then extended the volume; utilization dropped to a safe 60%.",Medium,1
1772,Search returning no results in CRM,[TCK-95162] We are observing that the search feature in CRM returns zero results for queries that clearly should match existing records. Requesting priority attention from the relevant team.,Application,The CRM search index had drifted out of sync with the database; triggered a full reindex and scheduled incremental reindexing to keep results accurate.,High,7
1773,Failover did not promote replica for orders_pg,"[TCK-64478] User a.kulkarni reports that the primary for orders_pg went down but the standby replica never got promoted, leaving the application without a writable database. Kindly look into this at the earliest.",Database,"Manually promoted the orders_pg replica to primary, repointed the application connection string, and fixed the failover automation that had a stale health-check.",High,10
1774,Packet loss on the link to Delhi Sales,"[TCK-26125] We are observing that the WAN link to Delhi Sales is showing steady packet loss, causing choppy calls and dropped sessions. Requesting priority attention from the relevant team.",Network,Isolated the packet loss to a faulty circuit segment on the Delhi Sales link; the carrier replaced the segment and loss dropped back to zero.,Medium,6
1775,MFA reset request for r.sharma,[TCK-49735] We are observing that user r.sharma lost their phone and cannot complete multi-factor authentication to sign in. Requesting priority attention from the relevant team.,Access Management,"Verified r.sharma out of band, reset their MFA enrolment, and guided them through registering a new authenticator device.",Medium,5
1776,High latency to VM-BATCH-09,"[TCK-54306] Ticket raised because network latency to VM-BATCH-09 has spiked to hundreds of milliseconds, degrading application response. This is impacting daily work.",Network,Traced the latency to a saturated link on the path to VM-BATCH-09; rerouted traffic over a secondary path and opened a capacity request.,Medium,2
1777,Password reset for r.sharma,[TCK-41406] Monitoring alerted us that user r.sharma is locked out and has requested a password reset for their corporate account. Escalating for investigation.,Access Management,"Verified the identity of r.sharma, reset the password, and required a change plus MFA re-registration at next login.",Medium,1
1778,Slow queries on sessions_redis,"[TCK-84261] Issue summary: several queries against sessions_redis have degraded to multi-second execution times, slowing the whole app. It started earlier today and has not self-resolved.",Database,"Analyzed the sessions_redis slow-query log, added two missing indexes and rewrote a correlated subquery; query times dropped by over 90%.",High,2
1779,Learning Management System integration with Workday failing,[TCK-16202] Monitoring alerted us that the Learning Management System integration with Workday has stopped syncing and shows repeated authentication failures. Escalating for investigation.,Application,"The Workday API credentials used by Learning Management System had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",Low,5
1780,Memory exhaustion on K8S-NODE-14,[TCK-44502] Issue summary: K8S-NODE-14 is reporting out-of-memory kills and the OOM killer has terminated critical services. It started earlier today and has not self-resolved.,Infrastructure,Increased the memory limit for the affected container on K8S-NODE-14 and added a memory-usage alert at 80% to catch it earlier.,High,2
1781,Replication lag on audit_mysql,"[TCK-62719] Ticket raised because the read replica for audit_mysql is lagging the primary by several minutes, serving stale reads to the application. This is impacting daily work.",Database,"Found a long-running analytics query blocking replication on audit_mysql; killed it, tuned the replica I/O, and lag returned to under a second.",High,0
1782,Billing Portal says it can't find the data,"[TCK-27557] Flagged during routine checks: Billing Portal shows an error mentioning a broken connection to where the data is kept, and no records load at all. Please confirm root cause and next steps.",Database,Diagnosed a dropped connection between Billing Portal and billing_mysql caused by a credentials rotation; updated the stored connection string and confirmed Billing Portal could load data again.,High,7
1783,DHCP not assigning addresses at Delhi Sales,[TCK-36493] Ticket raised because new devices at Delhi Sales are failing to get an IP address and fall back to self-assigned addresses. This is impacting daily work.,Network,"The DHCP scope for Delhi Sales had exhausted its available leases; expanded the scope range and shortened the lease time, and devices began getting addresses again.",High,7
1784,Storage volume nearly full,[TCK-29992] We are observing that the primary storage volume is at 96% capacity and writes are beginning to fail for several services. Requesting priority attention from the relevant team.,Storage,"Reclaimed space by purging expired snapshots and old logs, then extended the volume; utilization dropped to a safe 60%.",High,1
1785,Storage volume nearly full,[TCK-62488] Ticket raised because the primary storage volume is at 96% capacity and writes are beginning to fail for several services. This is impacting daily work.,Storage,"Reclaimed space by purging expired snapshots and old logs, then extended the volume; utilization dropped to a safe 60%.",High,1
1786,Kubernetes node STG-APP-07 in NotReady state,[TCK-30446] User p.reddy reports that node STG-APP-07 shows NotReady in the cluster and pods scheduled on it are stuck in Pending. Kindly look into this at the earliest.,Infrastructure,Restarted the kubelet on STG-APP-07 and cleared a stale disk-pressure taint; the node rejoined the cluster and pods rescheduled.,High,3
1787,Offboarding access revocation for r.desai,[TCK-46304] Support desk logged the following: leaver r.desai has left the company and all their access needs to be revoked immediately. Awaiting assignment to the right team.,Access Management,"Disabled the r.desai account, revoked all group memberships and tokens, and transferred owned resources to their manager.",Low,4
1788,NTP time drift on PRD-CACHE-02,"[TCK-95998] Monitoring alerted us that PRD-CACHE-02 clock has drifted several seconds, breaking token validation and log correlation. Escalating for investigation.",Infrastructure,Reconfigured chrony on PRD-CACHE-02 to use the internal NTP pool and forced an immediate sync; drift returned to sub-millisecond.,High,4
1789,File share \\fs02\marketing inaccessible,[TCK-53986] Monitoring alerted us that users cannot access the network file share \\fs02\marketing; it returns 'network path not found'. Escalating for investigation.,Storage,"The share service backing \\fs02\marketing had crashed; restarted it, verified permissions, and remapped the share for affected users.",Medium,0
1790,Elevated access request for r.desai,[TCK-66413] We are observing that user r.desai has requested temporary admin access to Procurement Portal to complete a project task. Requesting priority attention from the relevant team.,Access Management,Granted r.desai time-boxed elevated access to Procurement Portal via the privileged-access workflow with automatic expiry after 7 days.,Low,2
1791,Inventory Manager integration with Workday failing,[TCK-90753] User t.rao reports that the Inventory Manager integration with Workday has stopped syncing and shows repeated authentication failures. Kindly look into this at the earliest.,Application,"The Workday API credentials used by Inventory Manager had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",High,5
1792,Packet loss on the link to Chennai Support,"[TCK-84431] Reported by the Chennai Support team: the WAN link to Chennai Support is showing steady packet loss, causing choppy calls and dropped sessions. Please investigate and resolve.",Network,Isolated the packet loss to a faulty circuit segment on the Chennai Support link; the carrier replaced the segment and loss dropped back to zero.,Medium,6
1793,Open management port 9092 exposed on PRD-AUTH-05,[TCK-39339] User m.chatterjee reports that an external scan found management port 9092 on PRD-AUTH-05 reachable from the public internet. Kindly look into this at the earliest.,Security,"Restricted port 9092 on PRD-AUTH-05 to the internal management network via firewall and security-group rules, then verified it was no longer externally reachable.",High,8
1794,Shared mailbox access request for v.nair,[TCK-42120] Monitoring alerted us that user v.nair needs delegated access to the Bangalore DC shared mailbox to cover for a colleague on leave. Escalating for investigation.,Access Management,"Granted v.nair delegate permissions on the Bangalore DC shared mailbox, confirmed it appeared in their client, and set the access to expire when the colleague returns.",Medium,6
1795,New joiner access request for j.singh,"[TCK-64338] Support desk logged the following: new employee j.singh needs standard access provisioned to email, Billing Portal, and the Mumbai HQ file shares. Awaiting assignment to the right team.",Access Management,"Provisioned j.singh with the standard role granting email, Billing Portal, and Mumbai HQ share access, and confirmed successful first login.",Low,0
1796,Disk I/O saturation on PRD-DB-12,"[TCK-82179] Support desk logged the following: PRD-DB-12 shows near-100% disk utilization with high I/O wait, stalling every service on the host. Awaiting assignment to the right team.",Infrastructure,Traced the I/O saturation on PRD-DB-12 to verbose debug logging writing synchronously; disabled debug logging and moved logs to a dedicated volume.,Medium,7
1797,Intermittent connectivity at Kolkata Branch,[TCK-25745] User s.khan reports that users at Kolkata Branch are experiencing intermittent network drops every few minutes. Kindly look into this at the earliest.,Network,A failing uplink switch at Kolkata Branch was flapping; replaced the faulty switch and reconfigured link redundancy to prevent single-point drops.,High,0
1798,Slow read/write on \\nas03\media,"[TCK-20822] Issue summary: read and write performance on \\nas03\media has degraded severely, with file operations timing out. It started earlier today and has not self-resolved.",Storage,A failing disk in the array behind \\nas03\media was causing rebuild-related slowness; replaced the disk and performance returned to normal.,Medium,2
1799,Login broken on Procurement Portal,[TCK-57622] Monitoring alerted us that no user can log in to Procurement Portal; the login page accepts credentials then redirects back to itself. Escalating for investigation.,Application,The Procurement Portal session cookie domain was misconfigured after a deploy; corrected the cookie settings and cleared the CDN cache to fix login.,High,2
1800,Suspicious login attempts on account j.singh,[TCK-42588] Support desk logged the following: multiple failed login attempts followed by a success on account j.singh from an unfamiliar country. Awaiting assignment to the right team.,Security,"Locked account j.singh, forced a credential reset and MFA re-enrolment, and confirmed no data exfiltration occurred in the session logs.",High,0
1801,Phishing email reported by m.iyer,[TCK-71782] Support desk logged the following: user m.iyer reported a phishing email with a credential-harvesting link that several staff may have clicked. Awaiting assignment to the right team.,Security,"Removed the phishing message from all mailboxes via mail-flow rules, blocked the sender domain, and reset passwords for affected users.",Medium,1
1802,Permissions incorrect on \\fs01\finance,[TCK-98121] Reported by the Ahmedabad Office team: several Ahmedabad Office users report they can see the folder \\fs01\finance but get 'access denied' when opening files inside it. Please investigate and resolve.,Storage,Corrected the inherited NTFS permissions on \\fs01\finance for the relevant Ahmedabad Office group and re-propagated ACLs so the files opened as expected.,Medium,6
1803,High latency to PRD-WEB-01,"[TCK-37809] Issue summary: network latency to PRD-WEB-01 has spiked to hundreds of milliseconds, degrading application response. It started earlier today and has not self-resolved.",Network,Traced the latency to a saturated link on the path to PRD-WEB-01; rerouted traffic over a secondary path and opened a capacity request.,High,2
